"Country (en)";"Country (de)";"ISO 3166-1 numeric";"ISO 3166-1 alpha2";"ISO 3166-1 alpha3";"Fips10";"STANAG 1059";"Domain";"Dialing prefix";"IOC";"FIFA";"Vehicle code";"UN/LOCODE";"Maritime";"ITU";"UIC";"MMC";"Url"
"Albania";"Albanien";008;"AL";"ALB";"AL";"ALB";"al";355;"ALB";"ALB";"AL";"AL";201;"ALB";"41 AL";276;"https://www.worlddata.info/europe/albania/index.php"
"Angola";"Angola";024;"AO";"AGO";"AO";"AGO";"ao";244;"ANG";"ANG";"ANG";"AO";603;"AGL";;631;"https://www.worlddata.info/africa/angola/index.php"
"Equatorial Guinea";"Äquatorialguinea";226;"GQ";"GNQ";"EK";"GNQ";"gq";240;"GEQ";"EQG";"GQ";"GQ";631;"GNE";;627;"https://www.worlddata.info/africa/equatorial-guinea/index.php"
"Azerbaijan";"Aserbaidschan";031;"AZ";"AZE";"AJ";"AZE";"az";994;"AZE";"AZE";"AZ";"AZ";423;"AZE";"57 AZE";400;"https://www.worlddata.info/asia/azerbaijan/index.php"
