,ID,Name,HashName,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
25,772,"Michael B. ""Mike"" Adam",432f66ddb55ff23b32a86e9a7e1e3e1c4496c1dc9b06f6c0cb3ee6e0aa57d07e,M,24.0,175.0,95.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
26,808,"Robert ""Bob"" Adams",b3685046af8190a1bfa38485ddb3560a24d0081a05a3f8c496be63f5b0d6d61a,M,27.0,,,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Decathlon,
27,821,Keith Adams,610e31028d11e70ea86856e806af670cc450da11d0a2e7b4caec77905a46b5c3,M,22.0,167.0,75.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middleweight,
28,825,Lynda Riley Adams (-Hunt),0cfe9c40599b60fa8205d7c3a12357ddb17cc9c388840242696dfe487b51652c,F,16.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Springboard,
29,825,Lynda Riley Adams (-Hunt),0cfe9c40599b60fa8205d7c3a12357ddb17cc9c388840242696dfe487b51652c,F,16.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Platform,
30,838,Ralph Andrew Adams,4fc294f4899924b17372b5ce6548f8b5f78bf01a30c543e4ec6429ae4f517dc1,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
31,838,Ralph Andrew Adams,4fc294f4899924b17372b5ce6548f8b5f78bf01a30c543e4ec6429ae4f517dc1,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,
32,838,Ralph Andrew Adams,4fc294f4899924b17372b5ce6548f8b5f78bf01a30c543e4ec6429ae4f517dc1,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,
33,839,Robert P. Adams,b23401f7cbfbc5649536d22d0f4cc94b06a13cfc4a788530df3dbdb075af373c,M,17.0,188.0,85.0,Canada,CAN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,
34,979,Hans Adlhoch,576d3028a7735a81ffb098ee1406cfce032db0b3c9c76eba11cd40c5fd35566c,M,41.0,177.0,70.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",
